Metadata.Timestamp,Metadata.Length,Metadata.CapLen,Ethernet.SrcMAC,Ethernet.DstMAC,Ethernet.EthernetType,Ethernet.Length,IPv4.IHL,IPv4.Protocol,IPv4.SrcIP,IPv4.DstIP,UDP.SrcPort,UDP.DstPort,UDP.Length,TCP.SrcPort,TCP.DstPort,TCP.Seq,TCP.Ack,TCP.DataOffset,TCP.FIN,TCP.SYN,TCP.RST,TCP.PSH,TCP.ACK,TCP.URG,Payload.Length,Payload.filter,Payload.tbd
1579296314592959,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,LLC,6,,,,,,,,,,,,,,,,,,,,,
1579296314955789,322,322,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,IPv4,0,5,UDP,0.0.0.0,255.255.255.255,68(bootpc),67(bootps),288,,,,,,,,,,,,,,
1579296315957152,342,342,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,192.168.144.1,192.168.144.25,67(bootps),68(bootpc),308,,,,,,,,,,,,,,
1579296315981141,334,334,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,IPv4,0,5,UDP,0.0.0.0,255.255.255.255,68(bootpc),67(bootps),300,,,,,,,,,,,,,,
1579296315994385,342,342,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,192.168.144.1,192.168.144.25,67(bootps),68(bootpc),308,,,,,,,,,,,,,,
1579296316001782,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296318840168,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296319542428,62,62,00:16:6c:00:00:00,01:00:5e:00:00:16,IPv4,0,6,IGMP,192.168.144.25,224.0.0.22,,,,,,,,,,,,,,,,,
1579296319643053,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296319643083,42,42,dc:a6:32:00:00:00,00:16:6c:00:00:00,ARP,0,,,,,,,,,,,,,,,,,,,,,
1579296319654087,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,192.168.144.1,42510(caerpc),5351(pcp),10,,,,,,,,,,,,2,00:00:,
1579296319654148,72,72,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,ICMPv4,192.168.144.1,192.168.144.25,,,,,,,,,,,,,,,30,45:00:00:1e:9b:52:40:00:40:,
1579296319949976,153,153,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),119,,,,,,,,,,,,111,00:00:00:00:00:03:00:00:00:,
1579296320046532,293,293,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),259,,,,,,,,,,,,251,00:00:00:00:00:03:00:00:00:,
1579296320205417,153,153,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),119,,,,,,,,,,,,111,00:00:00:00:00:03:00:00:00:,
1579296320301423,62,62,00:16:6c:00:00:00,01:00:5e:00:00:16,IPv4,0,6,IGMP,192.168.144.25,224.0.0.22,,,,,,,,,,,,,,,,,
1579296320602013,60,60,00:16:6c:00:00:00,01:00:5e:00:00:16,IPv4,0,6,IGMP,192.168.144.25,224.0.0.22,,,,,,,,,,,,,,,,,
1579296320617478,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296320748801,72,72,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,55076,53(domain),38,,,,,,,,,,,,,,
1579296320748870,72,72,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,55076,53(domain),38,,,,,,,,,,,,,,
